accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,n_groups,background_groups,drone_groups,false_alarm_count,false_alarm_rate,missed_drone_count,missed_drone_rate,detection_rate,coverage,permutation,seed
0.8181818181818182,0.5777777777777778,0.6715686274509804,0.5777777777777778,0.5907738095238095,55,10,45,8,0.8,2,0.044444444444444446,0.9555555555555556,1.0,40,10081
0.2545454545454545,0.5444444444444444,0.5980392156862745,0.5444444444444444,0.24556707929073268,55,10,45,0,0.0,41,0.9111111111111111,0.08888888888888889,1.0,41,10082
0.5818181818181818,0.6666666666666667,0.5994694960212201,0.6666666666666667,0.5431563741422896,55,10,45,2,0.2,21,0.4666666666666667,0.5333333333333333,1.0,42,10083
0.38181818181818183,0.5444444444444445,0.5333333333333333,0.5444444444444445,0.3766666666666667,55,10,45,2,0.2,32,0.7111111111111111,0.28888888888888886,1.0,43,10084
0.5272727272727272,0.5944444444444444,0.5566666666666666,0.5944444444444444,0.48928571428571427,55,10,45,3,0.3,23,0.5111111111111111,0.4888888888888889,1.0,44,10085
0.2909090909090909,0.5666666666666667,0.6020408163265306,0.5666666666666667,0.28713858424725824,55,10,45,0,0.0,39,0.8666666666666667,0.13333333333333333,1.0,45,10086
0.509090909090909,0.6222222222222222,0.5757575757575757,0.6222222222222222,0.4845539743144741,55,10,45,2,0.2,25,0.5555555555555556,0.4444444444444444,1.0,46,10087
0.7818181818181819,0.5555555555555556,0.5850340136054422,0.5555555555555556,0.5611702127659575,55,10,45,8,0.8,4,0.08888888888888889,0.9111111111111111,1.0,47,10088
0.5636363636363636,0.6555555555555556,0.5933333333333334,0.6555555555555556,0.5285714285714286,55,10,45,2,0.2,22,0.4888888888888889,0.5111111111111111,1.0,48,10089
0.7272727272727273,0.5222222222222223,0.5241545893719807,0.5222222222222223,0.5228455754771544,55,10,45,8,0.8,7,0.15555555555555556,0.8444444444444444,1.0,49,10090
0.2727272727272727,0.5166666666666667,0.5223214285714286,0.5166666666666667,0.27055702917771884,55,10,45,1,0.1,39,0.8666666666666667,0.13333333333333333,1.0,50,10091
0.8,0.5277777777777778,0.5801282051282051,0.5277777777777778,0.5202220459952418,55,10,45,9,0.9,2,0.044444444444444446,0.9555555555555556,1.0,51,10092
0.32727272727272727,0.55,0.55,0.55,0.32727272727272727,55,10,45,1,0.1,36,0.8,0.2,1.0,52,10093
0.43636363636363634,0.5777777777777778,0.5525525525525525,0.5777777777777778,0.4241810199257008,55,10,45,2,0.2,29,0.6444444444444445,0.35555555555555557,1.0,53,10094
0.7272727272727273,0.6000000000000001,0.5824175824175823,0.6000000000000001,0.5877061469265368,55,10,45,6,0.6,9,0.2,0.8,1.0,54,10095
0.509090909090909,0.5444444444444444,0.5265251989389921,0.5444444444444444,0.4637053087757313,55,10,45,4,0.4,23,0.5111111111111111,0.4888888888888889,1.0,55,10096
0.7090909090909091,0.7055555555555555,0.6321428571428571,0.7055555555555555,0.6333333333333333,55,10,45,3,0.3,13,0.28888888888888886,0.7111111111111111,1.0,56,10097
0.4909090909090909,0.6111111111111112,0.5700280112044818,0.6111111111111112,0.4696969696969697,55,10,45,2,0.2,26,0.5777777777777777,0.4222222222222222,1.0,57,10098
0.7090909090909091,0.7055555555555555,0.6321428571428571,0.7055555555555555,0.6333333333333333,55,10,45,3,0.3,13,0.28888888888888886,0.7111111111111111,1.0,58,10099
0.23636363636363636,0.5333333333333333,0.5961538461538461,0.5333333333333333,0.22379032258064516,55,10,45,0,0.0,42,0.9333333333333333,0.06666666666666667,1.0,59,10100
0.6727272727272727,0.5666666666666667,0.5480769230769231,0.5666666666666667,0.5467032967032968,55,10,45,6,0.6,12,0.26666666666666666,0.7333333333333333,1.0,60,10101
0.5272727272727272,0.6722222222222223,0.6085434173669467,0.6722222222222223,0.5075757575757576,55,10,45,1,0.1,25,0.5555555555555556,0.4444444444444444,1.0,61,10102
0.2545454545454545,0.5444444444444444,0.5980392156862745,0.5444444444444444,0.24556707929073268,55,10,45,0,0.0,41,0.9111111111111111,0.08888888888888889,1.0,62,10103
0.21818181818181817,0.5222222222222223,0.5943396226415094,0.5222222222222223,0.20128335021952043,55,10,45,0,0.0,43,0.9555555555555556,0.044444444444444446,1.0,63,10104
0.2909090909090909,0.5666666666666667,0.6020408163265306,0.5666666666666667,0.28713858424725824,55,10,45,0,0.0,39,0.8666666666666667,0.13333333333333333,1.0,64,10105
0.4,0.5555555555555556,0.5400641025641025,0.5555555555555556,0.39277350284376045,55,10,45,2,0.2,31,0.6888888888888889,0.3111111111111111,1.0,65,10106
